time,Iu,Iv,Iw,Id,Iq,Angle,Speed,Vd,Vq,EncMech
729353,-0.095,0.062,0.062,-0.061,-0.073,0.86,104.42,-0.15,0.099,
729353,-0.095,0.062,0.085,-0.056,-0.078,0.87,104.42,-0.151,0.1,
729353,-0.084,0.051,0.051,-0.061,-0.057,0.881,104.42,-0.149,0.095,
729353,-0.118,0.028,0.062,-0.079,-0.09,0.891,104.42,-0.145,0.102,
729353,-0.107,0.051,0.074,-0.079,-0.072,0.902,104.42,-0.144,0.098,
729353,-0.118,0.074,0.074,-0.101,-0.062,0.912,104.42,-0.139,0.096,
729353,-0.095,0.039,0.085,-0.072,-0.068,0.922,104.42,-0.144,0.097,
729353,-0.107,0.016,0.085,-0.081,-0.08,0.932,103.26,-0.141,0.099,
729353,-0.084,0.028,0.062,-0.071,-0.048,0.943,103.26,-0.142,0.092,
729353,-0.118,0.016,0.085,-0.102,-0.072,0.953,103.26,-0.135,0.096,0.638
729353,-0.107,0.039,0.028,-0.105,-0.017,0.963,103.26,-0.133,0.085,
729353,-0.107,0.028,0.074,-0.101,-0.043,0.974,103.26,-0.133,0.089,
729353,-0.084,0.028,0.062,-0.081,-0.028,0.984,103.26,-0.136,0.086,
729353,-0.084,0.016,0.074,-0.083,-0.036,0.994,103.26,-0.135,0.086,
729353,-0.118,0.039,0.062,-0.119,-0.009,0.004,103.26,-0.127,0.08,
729353,-0.084,0.028,0.062,-0.085,-0.011,0.015,103.26,-0.133,0.08,
729353,-0.095,0.039,0.005,-0.091,0.035,0.025,103.26,-0.131,0.07,
729353,-0.095,0.005,0.085,-0.103,-0.023,0.035,103.26,-0.127,0.081,
729353,-0.095,0.016,0.062,-0.099,0.005,0.052,103.44,-0.127,0.073,
729353,-0.084,0.005,0.028,-0.082,0.02,0.062,103.44,-0.13,0.069,0.656
729353,-0.095,0.016,0.097,-0.106,0,0.072,103.44,-0.124,0.072,
729353,-0.072,0.016,0.074,-0.079,0.007,0.083,103.44,-0.128,0.07,
729353,-0.038,0.028,0.062,-0.042,0.004,0.093,103.44,-0.135,0.069,
729353,-0.061,0.005,0.051,-0.064,0.016,0.104,103.44,-0.13,0.066,
729353,-0.107,0.005,0.051,-0.098,0.05,0.114,103.44,-0.123,0.057,
729353,-0.084,0.039,0.028,-0.054,0.064,0.125,101.99,-0.131,0.053,
729353,-0.061,0.016,0.097,-0.075,0.015,0.135,101.99,-0.126,0.062,
729353,-0.049,0.005,0.062,-0.056,0.019,0.146,101.99,-0.129,0.06,
729353,-0.049,-0.006,0.062,-0.06,0.019,0.156,101.99,-0.127,0.059,
