[I] MODUS VERSION :[I] 00 05 00 06 
[I] 
[I] [FOC] AS5600 encoder source ready
[I] [Waveform] FOC App high-rate monitoring started
[I] 
=== Phase C: SVPWM & Open-Loop Test ===
[I] [Test] Motor waiting for PA12 button press to start...

[mshell] ready. Type 'help'.
> [T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
[T] [Heartbeat] motor: IDLE, seq: 0, total: 0, angle: 0.0000
